row,long,lat
1,-118.2909178,36.04837754
2,-118.6732696,33.951928
3,-116.7642268,33.50396874
4,-116.1794368,33.83437109
5,-118.4913329,33.92107495
9,-116.4520855,33.51565561
10,-116.7532833,33.6660561
11,-120.7336725,35.19582809
12,-118.5973158,34.18366717
13,-115.5841668,33.0688261
14,-115.539168,33.21816729
15,-117.001489,34.09152981
16,-116.8089907,33.59442681
17,-116.3186294,32.95042333
18,-118.488724,35.34784852
19,-117.7693194,35.83284144
24,-116.6938789,33.3736818
56,-120.1609869,34.55112825
58,-116.4977605,33.51036484
61,-116.4456656,32.10051607
62,-117.6119528,34.15688473
63,-117.3663664,33.67271568
66,-118.4164451,35.06031508
67,-119.8888264,35.85449565
68,-118.6674342,34.35732183
69,-115.9652755,33.24548978
70,-116.2508205,33.86843666
71,-120.8045723,34.94631248
77,-117.8598079,33.86897588
78,-118.0378255,32.63417346
79,-116.6676653,33.56043964
80,-119.6129655,34.29401577
82,-116.5013215,33.14932302
83,-118.7138843,33.81114255
87,-116.5796673,35.37982609
88,-120.2511693,34.8073348
89,-118.5826682,33.967167
91,-115.6813752,33.27913691
92,-116.3510365,32.14192516
95,-119.1151655,33.66953381
101,-115.4578627,32.49180931
104,-117.2637311,34.17039421
106,-116.8418272,34.02418693
107,-117.0926209,33.46824307
108,-115.2902747,32.35453369
110,-116.1418481,34.03424114
112,-116.0581633,33.23295826
117,-120.5723964,34.44802204
120,-119.6341821,34.41797116
121,-119.1547446,35.01371169
127,-116.6390182,34.852706
128,-116.0993268,32.19816622
129,-115.7435436,32.0795943
131,-118.4730688,35.44124557
132,-117.6261715,32.24666631
134,-116.7732883,34.01489756
135,-117.6324181,34.26405485
136,-121.0105346,34.81716956
137,-120.8043276,35.7964685
140,-119.1885025,32.50216885
141,-116.4551767,33.46492544
142,-114.7578304,32.31966829
146,-117.638743,35.70759443
147,-117.3182249,34.12352451
149,-116.8914933,33.46520975
151,-116.0723443,32.63224726
152,-116.3923101,34.11731256
156,-119.5094537,34.40046222
159,-116.3159009,34.97149165
160,-117.4714913,34.18259029
161,-116.1068623,33.17144982
162,-116.5161289,33.0395568
177,-120.6443184,35.17182736
180,-115.4495267,32.78504326
181,-116.2046661,33.06553182
184,-115.8908315,32.97524391
187,-115.6875073,32.32877573
190,-118.9782691,34.0686057
191,-116.9535157,33.80966162
192,-118.7409191,36.06060853
193,-119.387833,34.98559394
196,-116.5676457,33.9791529
199,-120.3936743,34.91167192
201,-120.8454739,35.59633035
205,-118.2108259,33.5608295
207,-118.4067369,35.72726049
211,-116.7689918,33.67747233
212,-115.6632475,33.25017289
214,-119.0402605,34.84319057
215,-116.8777587,33.95506611
216,-115.6383921,32.58314306
217,-118.8955065,32.54183479
228,-116.4318657,32.96547878
231,-116.7026887,34.15195
233,-119.4352108,35.38228246
234,-115.2550347,32.5292709
235,-118.7049295,33.95821584
237,-116.3751739,35.3704561
238,-116.4165892,33.26381907
239,-116.1726668,32.03917068
241,-115.529359,32.91589775
245,-118.5097879,34.99515156
248,-117.8119226,33.93355769
251,-115.8229671,32.93243718
253,-118.3185943,33.94163575
254,-120.0281747,32.79561379
255,-119.5726498,35.84351482
256,-119.7764948,34.43179271
262,-118.2936652,33.32516891
270,-114.9635047,32.17164691
292,-116.3137971,32.03844209
300,-116.3182543,33.32587588
303,-117.7211418,34.39977341
304,-118.6423334,34.20770518
307,-119.1389936,35.53582946
308,-119.232673,34.09517126
312,-120.9853323,34.49582749
313,-116.6728161,34.0568261
314,-119.6494502,35.68060001
315,-120.5487099,35.31916713
316,-115.9488234,32.88656034
317,-120.7410189,34.97718585
318,-119.5758203,34.29885122
319,-116.8155887,35.07833663
320,-118.5938131,35.95718225
326,-118.8191424,33.95388582
330,-115.9422617,33.76851079
336,-117.4473265,34.14452321
338,-120.0411672,33.57867044
340,-116.2824419,33.36040668
342,-116.0136729,34.42033341
345,-116.9376078,33.35594563
347,-115.9494907,32.17766769
350,-116.4820314,32.92084897
351,-116.0873374,32.83068682
352,-117.9483332,33.07632682
353,-115.4287178,32.52891824
354,-118.8853848,34.06974093
356,-118.2730288,33.93456162
359,-115.8062079,32.17388073
362,-117.1687491,35.57728067
363,-119.7983314,36.03947618
365,-119.1297552,35.07865841
367,-120.4072476,33.80937792
368,-120.9963308,34.91367444
369,-118.4651698,33.92183422
370,-115.2589183,32.49414413
371,-118.5655371,34.32546888
373,-116.4004467,34.03623071
374,-118.6096738,35.33011372
375,-118.2159263,34.02373331
378,-116.9881421,33.94833029
382,-121.4891736,34.57051814
384,-118.1005334,35.69690587
385,-116.0506803,33.79002629
386,-116.4785205,33.48311555
388,-118.6252445,35.48976355
389,-115.9162709,34.1888484
390,-115.7483296,32.03716853
392,-117.4183327,32.53482587
393,-115.8053323,32.24067217
394,-116.2566278,32.94494302
395,-116.4198633,33.44376179
397,-115.5279127,33.1972686
402,-118.2660841,34.09818167
405,-115.3044804,32.25765394
406,-118.5530511,35.34891151
407,-116.4546302,33.53414008
408,-115.5838869,32.10454543
409,-117.2457504,34.05786655
410,-117.0386692,35.22967302
413,-118.5563661,35.56052171
414,-116.9527576,33.98216275
416,-116.4166662,32.09188378
417,-118.3256402,35.90678506
424,-119.048048,35.05986004
432,-116.9968326,32.28467455
435,-116.6085645,34.00420913
463,-117.1959208,34.0138181
464,-115.3791759,32.2275389
466,-116.3992572,34.82077874
473,-116.1458859,33.89527697
474,-118.0104074,35.76843086
477,-120.6101682,34.40216838
478,-116.1191497,33.77972781
480,-117.3460833,34.17382483
485,-115.5629071,32.90844382
489,-116.4659607,34.32521761
491,-117.9639505,35.95876296
493,-116.7944731,33.53523849
494,-116.8322181,33.91023074
496,-118.9105263,34.55143362
497,-119.2563238,34.31952085
498,-120.3255051,33.87651792
501,-116.2820396,32.06241012
504,-118.0557826,33.46944803
505,-116.8263393,34.39152648
506,-116.0741783,33.13367547
508,-115.92126,34.56390756
510,-119.0263195,34.89895341
512,-116.7256062,33.70791884
513,-116.3544085,32.08646954
522,-116.4083695,33.11920751
528,-115.4362674,32.48349435
530,-115.8024489,32.13807861
531,-118.993758,34.82525728
532,-118.385065,33.66104301
533,-119.6094095,34.2633914
534,-116.3693309,32.03148112
552,-116.4076697,34.32571688
553,-119.9194241,34.69876335
556,-115.3243263,32.43633445
559,-120.328335,34.80183286
563,-115.1983859,32.36251499
564,-115.7002274,33.29746231
566,-116.172178,33.82060111
567,-116.61104,34.38307004
568,-118.9982308,34.54747537
575,-116.3377219,33.959072
577,-116.6748579,35.08024941
578,-118.0768317,32.42667029
580,-117.1909534,33.9615824
581,-118.0536614,35.73518441
583,-118.0703674,33.70622764
584,-118.7133337,34.41035399
588,-116.402245,33.47573874
590,-119.0980407,35.07248364
591,-116.7335595,34.05228609
593,-118.4430283,34.40651715
594,-116.7146323,33.97958271
595,-117.781645,35.99414177
596,-115.6693271,32.04866622
597,-118.219114,32.71217147
599,-117.0226539,34.01582776
602,-117.3138271,35.98633386
606,-116.63673,35.73883758
615,-118.6650829,33.99283125
616,-116.696368,33.67461222
618,-120.5651685,34.27882924
620,-118.1781651,33.68141799
621,-117.0179897,33.82278775
623,-119.9758445,35.81869047
626,-116.8403559,34.04125579
629,-118.9881733,34.03133287
633,-118.2775355,33.89653969
638,-118.6911663,33.30266674
640,-119.4523724,34.2635881
642,-116.3460486,33.36375097
645,-117.8237442,33.89042632
646,-119.7591678,35.46067492
647,-116.5358189,34.05001084
648,-117.5501747,32.10049451
649,-116.4511667,32.00252041
650,-115.9778208,33.87353139
651,-116.3946081,33.99567515
653,-115.8535276,35.78383278
658,-116.7851464,33.99188929
661,-117.0775266,33.93980817
663,-115.1201679,32.35032679
665,-117.9716714,32.29716844
666,-118.8981355,35.45368048
674,-116.9735438,34.16535582
679,-117.9918316,32.59783364
680,-118.5885731,33.99864222
681,-114.9264612,32.01683163
682,-116.0692747,33.20816633
686,-119.0533576,34.38793608
689,-116.105275,32.81465171
690,-116.9253338,32.20150649
692,-119.3479059,35.28363455
693,-120.8528333,34.40216882
694,-117.2259416,34.03887554
696,-116.5129815,33.45491027
702,-116.6477658,33.95951287
704,-120.0557534,34.44361752
705,-116.0993704,34.00281076
706,-115.9819517,33.03453221
707,-115.5735619,32.97572806
710,-116.8168254,34.20587375
713,-117.1548854,32.68047694
714,-117.32714,35.22097158
717,-117.15967,34.00093791
718,-115.6863343,32.10767169
721,-114.6703291,32.24232966
722,-118.5062525,35.55188087
723,-116.8432369,34.54030781
726,-116.8177854,33.99602545
727,-116.138333,35.50982963
729,-116.9177683,35.0295255
739,-116.8087397,34.32397035
743,-119.7856289,34.40489483
744,-119.3901262,34.47829148
745,-118.5643323,32.904673
748,-116.2622817,35.62938596
749,-118.5670625,34.43138609
750,-119.0061671,32.35432915
755,-117.8950681,34.46643609
756,-118.0656678,32.60466666
758,-118.6076746,33.15368641
760,-121.3681708,34.63133
761,-115.5238287,32.17754335
762,-119.1693342,33.45050124
763,-117.318761,34.15966531
765,-116.8635641,35.51852597
766,-117.866741,36.00339375
768,-115.5998889,32.61671349
769,-119.9879765,35.42805468
770,-115.2965601,32.36933781
771,-118.5224884,35.3268084
772,-116.7006368,33.92214652
774,-117.7385341,32.24164051
777,-115.4341736,32.06952835
778,-116.0355942,34.11815589
780,-114.8843264,32.19750054
784,-120.2781711,33.41117484
786,-117.5255125,33.75372709
787,-117.7666548,34.11441483
790,-116.9631737,33.62896659
791,-118.3137426,33.79776557
792,-118.022757,33.73310686
793,-115.7072163,33.34311662
795,-115.2547265,32.4690112
799,-115.6530656,33.16452738
800,-117.2401144,35.95466409
801,-118.9320691,35.02984401
803,-117.0669437,34.20260902
804,-118.1871687,32.47252387
805,-115.6538481,32.12481964
807,-118.4051533,33.88186585
808,-117.5961681,32.10723023
810,-118.0223067,35.80472302
811,-118.5859101,35.26184356
812,-116.6083075,34.11040844
814,-115.0283325,32.27646765
815,-120.7052076,35.43886806
816,-116.7441625,33.94459248
817,-115.1075237,32.12033109
931,-115.556334,32.09083164
948,-117.8674163,36.08312319
986,-115.0941224,32.43973965
1004,-119.5080631,34.25278296
1005,-120.3754241,35.80743132
1035,-115.3770192,32.45516855
1040,-119.2334709,34.97923145
1042,-118.4496243,36.05478713
1056,-115.6641567,32.67963021
1058,-119.6736705,32.36232812
1059,-116.0886356,33.24301298
1060,-120.8673297,34.15716746
1061,-115.2301787,32.36779353
1064,-120.9426736,35.337825
1065,-116.2764901,32.46132917
1068,-116.8067518,33.70591043
1069,-114.9081605,32.04840755
1071,-116.2908474,32.99213787
1072,-118.296665,32.75332647
1073,-116.5515562,33.50936862
1074,-115.7677331,33.01103297
1082,-115.6870833,32.37186281
1084,-116.3313262,32.03017543
1115,-120.4781742,34.78266582
1123,-120.7363347,34.51517209
1130,-118.3370844,33.98205766
1131,-118.1025495,32.52932755
1132,-119.1321256,34.93845346
1138,-117.5652871,35.73753799
1140,-114.9273313,32.17283384
1144,-115.9734474,32.71655329
