"","datetime","lat","long","mag"
"1",1981-01-02 15:03:09,36.04838,-118.29092,3.13
"2",1981-01-08 14:52:14,33.95193,-118.67327,3.2
"3",1981-01-18 20:19:55,33.50397,-116.76423,3.01
"4",1981-01-26 05:23:02,33.83437,-116.17944,3
"5",1981-01-30 01:54:12,33.921,-118.49133,3.08
"9",1981-02-21 15:09:51,33.51566,-116.45209,3.12
"10",1981-02-21 22:56:16,33.66606,-116.75328,3.39
"11",1981-02-23 06:12:49,35.19583,-120.73367,3.38
"12",1981-02-27 15:11:12,34.18367,-118.597,3.36
"13",1981-03-08 11:17:08,33.06883,-115.58417,3.53
"14",1981-03-12 14:06:42,33.21817,-115.53917,3.25
"15",1981-03-18 06:07:11,34.092,-117.0015,3.73
"16",1981-04-01 02:05:14,33.5944,-116.80899,3.35
"17",1981-04-07 06:23:28,32.95042,-116.31863,3.12
"18",1981-04-11 21:47:43,35.34785,-118.48872,3.06
"19",1981-04-19 08:46:49,35.83284,-117.76932,3.91
"24",1981-04-20 01:37:42,33.37368,-116.69388,3.48
"25",1981-04-22 06:28:51,33.10132,-115.63063,3.48
"56",1981-04-28 15:55:47,34.55113,-120.16099,3.03
"58",1981-04-30 20:09:46,33.51036,-116.49776,3.38
"60",1981-05-02 21:50:20,32.93855,-116.29233,3.33
"61",1981-05-13 05:33:39,32.1005,-116.44567,3.23
"62",1981-06-03 05:29:03,34.15688,-117.61195,3.33
"63",1981-06-04 11:51:33,33.67272,-117.36637,3.59
"65",1981-06-06 05:54:30,35.76009,-117.71711,3.09
"66",1981-06-12 02:58:20,35.06032,-118.41645,3.23
"67",1981-06-12 04:18:00,35.8545,-119.88883,3
"68",1981-06-12 06:06:07,34.35732,-118.66743,3.75
"69",1981-06-12 11:02:46,33.24549,-115.96528,3.56
"70",1981-06-16 12:16:19,33.86844,-116.25082,3.14
"71",1981-06-16 15:58:52,34.94631,-120.8046,3.07
"72",1981-06-22 04:57:47,35.09694,-118.5206,4.02
"77",1981-07-06 19:53:44,33.86898,-117.85981,3.04
"78",1981-07-11 21:50:29,32.63417,-118.03783,4.12
"79",1981-07-18 12:48:16,33.56044,-116.66767,3.08
"80",1981-07-21 04:31:17,34.29402,-119.61297,3.09
"81",1981-07-26 06:13:09,35.13072,-118.64716,3.59
"82",1981-07-29 21:28:08,33.14932,-116.50132,3.41
"83",1981-07-29 23:37:16,33.81114,-118.71388,3.06
"87",1981-08-05 16:56:12,35.37983,-116.57967,3
"88",1981-08-06 11:10:11,34.80733,-120.25117,3.57
"89",1981-08-14 01:09:33,33.96717,-118.58267,3.1
"91",1981-08-28 01:42:01,33.27914,-115.68138,3.24
"92",1981-09-02 04:36:06,32.14193,-116.35104,3.06
"93",1981-09-04 00:28:53,33.16181,-116.55873,3.99
"95",1981-09-04 15:50:49,33.6695,-119.11517,5.45
"101",1981-09-09 18:06:21,32.4918,-115.45786,3.51
"104",1981-09-12 21:23:07,34.17039,-117.26373,3.52
"106",1981-09-25 14:13:38,34.0242,-116.84183,3.28
"107",1981-09-28 10:57:39,33.46824,-117.09262,3.3
"108",1981-10-06 18:22:58,32.35453,-115.29027,3.42
"110",1981-10-13 20:14:53,34.03424,-116.14185,3.48
"112",1981-10-17 19:47:21,33.23296,-116.05816,3.72
"117",1981-10-30 08:24:30,34.45,-120.572,3.03
"120",1981-11-09 13:43:35,34.41797,-119.63418,3.02
"121",1981-11-10 22:34:35,35.01371,-119.15474,4.71
"127",1981-11-24 09:20:17,34.8527,-116.63902,3.29
"128",1981-11-25 15:16:35,32.19817,-116.09933,3.36
"129",1981-11-27 01:25:11,32.08,-115.7435,3.33
"131",1981-12-12 05:07:09,35.44125,-118.47307,3
"132",1981-12-14 10:59:46,32.24667,-117.62617,3.31
"134",1981-12-24 02:22:07,34.015,-116.773,3.08
"135",1981-12-27 20:24:15,34.26405,-117.63242,3.01
"136",1982-01-12 19:47:41,34.81717,-121.0105,3.09
"137",1982-01-18 07:02:59,35.7965,-120.80433,3.03
"138",1982-01-20 21:48:32,34.27527,-119.62522,3.03
"139",1982-01-25 23:47:03,33.23063,-116.09033,3.03
"140",1982-01-28 01:44:12,32.50217,-119.189,3.64
"141",1982-02-02 05:40:56,33.46493,-116.45518,3.09
"142",1982-02-02 11:16:52,32.31967,-114.75783,3.32
"143",1982-02-02 18:00:05,33.77831,-119.22543,3.26
"144",1982-02-04 00:07:21,32.98635,-115.75319,3.32
"145",1982-02-07 08:10:20,35.35196,-118.4971,3.83
"146",1982-02-11 22:37:51,35.70759,-117.63874,3.76
"147",1982-02-16 19:10:51,34.12352,-117.31822,3.12
"149",1982-02-19 13:44:10,33.46521,-116.89149,3.01
"151",1982-02-21 11:02:40,32.63225,-116.07234,3.02
"152",1982-02-22 14:06:08,34.11731,-116.39231,3.02
"155",1982-02-26 13:30:15,33.449,-118.927,3
"156",1982-02-28 23:18:19,34.4005,-119.5095,3.25
"159",1982-03-01 20:06:54,34.9715,-116.316,3.25
"160",1982-03-03 04:16:00,34.1826,-117.47149,3
"161",1982-03-04 04:36:23,33.17145,-116.10686,3.14
"162",1982-03-05 15:22:40,33.03956,-116.51613,3.12
"174",1982-03-11 21:45:36,35.58867,-117.44567,4
"177",1982-03-14 09:58:47,35.17183,-120.644,3.5
"180",1982-03-16 22:55:05,32.78504,-115.44953,3.34
"181",1982-03-22 08:53:28,33.06553,-116.20467,4.48
"184",1982-03-29 20:08:26,32.97524,-115.89083,3.68
"186",1982-04-01 13:08:11,32.50634,-116.2714,3.28
"187",1982-04-03 21:58:40,32.3288,-115.68751,3
"188",1982-04-05 01:14:54,33.5507,-118.94753,3.55
"190",1982-04-13 11:02:12,34.06861,-118.97827,4.01
"191",1982-04-15 08:53:50,33.80966,-116.9535,3.02
"192",1982-04-17 01:45:24,36.06061,-118.7409,3.01
"193",1982-04-21 21:19:29,34.986,-119.38783,3.14
"196",1982-04-27 06:18:41,33.97915,-116.56765,3.3
"199",1982-04-30 06:43:36,34.91167,-120.39367,3.77
"201",1982-05-07 22:26:33,35.59633,-120.8455,3.3
"205",1982-05-25 13:44:00,33.56083,-118.21083,4.36
"207",1982-05-31 15:42:03,35.72726,-118.40674,3.6
"211",1982-06-02 17:12:28,33.6775,-116.769,3.19
"212",1982-06-02 21:10:15,33.25017,-115.66325,3.32
"214",1982-06-09 01:57:19,34.84319,-119.04026,3
"215",1982-06-09 03:27:09,33.955,-116.87776,3.09
"216",1982-06-10 08:06:01,32.5831,-115.63839,3.17
"217",1982-06-15 11:59:31,32.54183,-118.8955,3.3
"223",1982-06-16 03:16:06,33.92305,-117.03566,3.1
"228",1982-06-27 11:21:33,32.965,-116.43187,3.2
"229",1982-06-27 16:14:59,33.48233,-116.45467,3.13
"231",1982-07-07 08:44:33,34.15195,-116.70269,3.46
"233",1982-07-21 09:28:18,35.38228,-119.43521,3.18
"234",1982-07-26 21:27:36,32.52927,-115.25503,3.21
"235",1982-07-29 05:50:08,33.95822,-118.70493,3.4
"237",1982-07-31 06:42:19,35.3705,-116.37517,3.16
"238",1982-08-03 16:38:05,33.26382,-116.41659,3.62
"239",1982-08-04 03:43:30,32.03917,-116.17267,3.04
"241",1982-08-10 18:36:43,32.9159,-115.52936,3.17
"244",1982-08-14 04:51:29,33.35095,-116.33936,3.01
"245",1982-08-14 05:13:50,34.99515,-118.50979,3.48
"247",1982-08-26 22:28:43,33.26172,-115.97728,3.48
"248",1982-08-27 04:25:37,33.93356,-117.81192,3.36
"249",1982-08-30 19:59:01,33.6432,-116.7555,3.9
"250",1982-09-01 15:42:13,34.84017,-120.4035,3.14
